strategy,dataset,day,total_pnl,osmium_pnl,pepper_root_pnl,osmium_position,pepper_root_position
mainbh_osmium_ret5_pressure_alpha.py,R1,-2,95929.5,16368.5,79561.0,61,80
mainbh_osmium_ret5_pressure_alpha.py,R1,-1,97519.0,18285.0,79234.0,51,80
mainbh_osmium_ret5_pressure_alpha.py,R1,0,96705.0,17255.0,79450.0,11,80
mainbh_osmium_ret5_pressure_alpha.py,R2,-1,97498.0,18176.0,79322.0,28,80
mainbh_osmium_ret5_pressure_alpha.py,R2,0,98540.0,19226.0,79314.0,8,80
mainbh_osmium_ret5_pressure_alpha.py,R2,1,98251.0,18931.0,79320.0,4,80
cand_no_micro_depth_top05.py,R1,-2,95921.5,16360.5,79561.0,61,80
cand_no_micro_depth_top05.py,R1,-1,97480.0,18246.0,79234.0,51,80
cand_no_micro_depth_top05.py,R1,0,96670.0,17220.0,79450.0,11,80
cand_no_micro_depth_top05.py,R2,-1,97531.0,18209.0,79322.0,29,80
cand_no_micro_depth_top05.py,R2,0,98516.0,19202.0,79314.0,8,80
cand_no_micro_depth_top05.py,R2,1,98220.0,18900.0,79320.0,4,80
s9700_pepper_sweep.py,R1,-2,95903.5,16360.5,79543.0,61,80
s9700_pepper_sweep.py,R1,-1,97438.0,18246.0,79192.0,51,80
s9700_pepper_sweep.py,R1,0,96539.0,17220.0,79319.0,11,80
s9700_pepper_sweep.py,R2,-1,97500.0,18209.0,79291.0,29,80
s9700_pepper_sweep.py,R2,0,98487.0,19202.0,79285.0,8,80
s9700_pepper_sweep.py,R2,1,98111.0,18900.0,79211.0,4,80
s9700_one_sided.py,R1,-2,96090.0,16529.0,79561.0,60,80
s9700_one_sided.py,R1,-1,97741.0,18507.0,79234.0,51,80
s9700_one_sided.py,R1,0,96767.0,17317.0,79450.0,7,80
s9700_one_sided.py,R2,-1,97700.0,18378.0,79322.0,22,80
s9700_one_sided.py,R2,0,98533.0,19219.0,79314.0,9,80
s9700_one_sided.py,R2,1,98430.0,19110.0,79320.0,9,80
s9700_pepper_sweep_one_sided.py,R1,-2,96072.0,16529.0,79543.0,60,80
s9700_pepper_sweep_one_sided.py,R1,-1,97699.0,18507.0,79192.0,51,80
s9700_pepper_sweep_one_sided.py,R1,0,96636.0,17317.0,79319.0,7,80
s9700_pepper_sweep_one_sided.py,R2,-1,97669.0,18378.0,79291.0,22,80
s9700_pepper_sweep_one_sided.py,R2,0,98504.0,19219.0,79285.0,9,80
s9700_pepper_sweep_one_sided.py,R2,1,98321.0,19110.0,79211.0,9,80
s9700_wallmid_micro_sign.py,R1,-2,95946.5,16385.5,79561.0,61,80
s9700_wallmid_micro_sign.py,R1,-1,97517.0,18283.0,79234.0,51,80
s9700_wallmid_micro_sign.py,R1,0,96692.0,17242.0,79450.0,11,80
s9700_wallmid_micro_sign.py,R2,-1,97545.0,18223.0,79322.0,28,80
s9700_wallmid_micro_sign.py,R2,0,98536.0,19222.0,79314.0,8,80
s9700_wallmid_micro_sign.py,R2,1,98251.0,18931.0,79320.0,4,80
s9700_wallmid_void_sign.py,R1,-2,95979.5,16418.5,79561.0,61,80
s9700_wallmid_void_sign.py,R1,-1,97511.0,18277.0,79234.0,51,80
s9700_wallmid_void_sign.py,R1,0,96697.0,17247.0,79450.0,11,80
s9700_wallmid_void_sign.py,R2,-1,97556.0,18234.0,79322.0,28,80
s9700_wallmid_void_sign.py,R2,0,98536.0,19222.0,79314.0,8,80
s9700_wallmid_void_sign.py,R2,1,98251.0,18931.0,79320.0,4,80
s9700_wallmid_vote.py,R1,-2,95936.5,16375.5,79561.0,61,80
s9700_wallmid_vote.py,R1,-1,97530.0,18296.0,79234.0,51,80
s9700_wallmid_vote.py,R1,0,96701.0,17251.0,79450.0,11,80
s9700_wallmid_vote.py,R2,-1,97494.0,18172.0,79322.0,28,80
s9700_wallmid_vote.py,R2,0,98540.0,19226.0,79314.0,8,80
s9700_wallmid_vote.py,R2,1,98251.0,18931.0,79320.0,4,80
s9700_wallmid_vote_take_half.py,R1,-2,94943.0,15382.0,79561.0,58,80
s9700_wallmid_vote_take_half.py,R1,-1,96672.0,17438.0,79234.0,61,80
s9700_wallmid_vote_take_half.py,R1,0,96438.0,16988.0,79450.0,8,80
s9700_wallmid_vote_take_half.py,R2,-1,97335.0,18013.0,79322.0,33,80
s9700_wallmid_vote_take_half.py,R2,0,97851.0,18537.0,79314.0,18,80
s9700_wallmid_vote_take_half.py,R2,1,97379.0,18059.0,79320.0,32,80
s9700_wallmid_vote_take_full.py,R1,-2,93186.5,13625.5,79561.0,45,80
s9700_wallmid_vote_take_full.py,R1,-1,94572.0,15338.0,79234.0,65,80
s9700_wallmid_vote_take_full.py,R1,0,94818.0,15368.0,79450.0,20,80
s9700_wallmid_vote_take_full.py,R2,-1,95298.0,15976.0,79322.0,20,80
s9700_wallmid_vote_take_full.py,R2,0,95465.0,16151.0,79314.0,17,80
s9700_wallmid_vote_take_full.py,R2,1,95334.0,16014.0,79320.0,26,80
s9700_gamma_target.py,R1,-2,95909.5,16348.5,79561.0,61,80
s9700_gamma_target.py,R1,-1,97509.0,18275.0,79234.0,51,80
s9700_gamma_target.py,R1,0,96675.0,17225.0,79450.0,11,80
s9700_gamma_target.py,R2,-1,97540.0,18218.0,79322.0,29,80
s9700_gamma_target.py,R2,0,98528.0,19214.0,79314.0,8,80
s9700_gamma_target.py,R2,1,98237.0,18917.0,79320.0,4,80
s9700_gamma_wallmid.py,R1,-2,95950.5,16389.5,79561.0,61,80
s9700_gamma_wallmid.py,R1,-1,97551.0,18317.0,79234.0,51,80
s9700_gamma_wallmid.py,R1,0,96710.0,17260.0,79450.0,10,80
s9700_gamma_wallmid.py,R2,-1,97509.0,18187.0,79322.0,28,80
s9700_gamma_wallmid.py,R2,0,98558.0,19244.0,79314.0,8,80
s9700_gamma_wallmid.py,R2,1,98218.0,18898.0,79320.0,8,80
s9700_stack_structural.py,R1,-2,95063.0,15520.0,79543.0,58,80
s9700_stack_structural.py,R1,-1,96927.0,17735.0,79192.0,61,80
s9700_stack_structural.py,R1,0,96449.0,17130.0,79319.0,9,80
s9700_stack_structural.py,R2,-1,97356.0,18065.0,79291.0,30,80
s9700_stack_structural.py,R2,0,97860.0,18575.0,79285.0,16,80
s9700_stack_structural.py,R2,1,97533.0,18322.0,79211.0,35,80
mainbh.py,R1,-2,95951.5,16390.5,79561.0,61,80
mainbh.py,R1,-1,97450.0,18216.0,79234.0,52,80
mainbh.py,R1,0,96580.0,17130.0,79450.0,11,80
mainbh.py,R2,-1,97511.0,18189.0,79322.0,33,80
mainbh.py,R2,0,98421.0,19107.0,79314.0,8,80
mainbh.py,R2,1,98008.0,18688.0,79320.0,12,80
main_secure2.py,R1,-2,71826.0,16404.5,55421.5,61,1
main_secure2.py,R1,-1,35153.0,18107.0,17046.0,52,-32
main_secure2.py,R1,0,37447.0,17128.0,20319.0,8,20
main_secure2.py,R2,-1,19939.5,18189.0,1750.5,33,5
main_secure2.py,R2,0,39902.0,19107.0,20795.0,8,25
main_secure2.py,R2,1,31298.0,18688.0,12610.0,12,10
main_pepper_buy_hold.py,R1,-2,79543.0,0.0,79543.0,0,80
main_pepper_buy_hold.py,R1,-1,79192.0,0.0,79192.0,0,80
main_pepper_buy_hold.py,R1,0,79319.0,0.0,79319.0,0,80
main_pepper_buy_hold.py,R2,-1,79291.0,0.0,79291.0,0,80
main_pepper_buy_hold.py,R2,0,79285.0,0.0,79285.0,0,80
main_pepper_buy_hold.py,R2,1,79211.0,0.0,79211.0,0,80
mainbh_osmium_alpha.py,R1,-2,95942.5,16381.5,79561.0,61,80
mainbh_osmium_alpha.py,R1,-1,97504.0,18270.0,79234.0,51,80
mainbh_osmium_alpha.py,R1,0,96705.0,17255.0,79450.0,11,80
mainbh_osmium_alpha.py,R2,-1,97491.0,18169.0,79322.0,28,80
mainbh_osmium_alpha.py,R2,0,98540.0,19226.0,79314.0,8,80
mainbh_osmium_alpha.py,R2,1,98247.0,18927.0,79320.0,7,80
mainbh_osmium_ladder_alpha.py,R1,-2,95894.0,16333.0,79561.0,64,80
mainbh_osmium_ladder_alpha.py,R1,-1,97498.0,18264.0,79234.0,52,80
mainbh_osmium_ladder_alpha.py,R1,0,96685.0,17235.0,79450.0,11,80
mainbh_osmium_ladder_alpha.py,R2,-1,97480.0,18158.0,79322.0,28,80
mainbh_osmium_ladder_alpha.py,R2,0,98581.0,19267.0,79314.0,8,80
mainbh_osmium_ladder_alpha.py,R2,1,98189.0,18869.0,79320.0,9,80
mainbh_osmium_ret5_alpha.py,R1,-2,95913.5,16352.5,79561.0,61,80
mainbh_osmium_ret5_alpha.py,R1,-1,97514.0,18280.0,79234.0,51,80
mainbh_osmium_ret5_alpha.py,R1,0,96705.0,17255.0,79450.0,11,80
mainbh_osmium_ret5_alpha.py,R2,-1,97495.0,18173.0,79322.0,28,80
mainbh_osmium_ret5_alpha.py,R2,0,98540.0,19226.0,79314.0,8,80
mainbh_osmium_ret5_alpha.py,R2,1,98247.0,18927.0,79320.0,4,80
mainbh_osmium_ret5_pressure_size_alpha.py,R1,-2,95934.0,16373.0,79561.0,60,80
mainbh_osmium_ret5_pressure_size_alpha.py,R1,-1,97557.0,18323.0,79234.0,52,80
mainbh_osmium_ret5_pressure_size_alpha.py,R1,0,96720.0,17270.0,79450.0,10,80
mainbh_osmium_ret5_pressure_size_alpha.py,R2,-1,97413.0,18091.0,79322.0,28,80
mainbh_osmium_ret5_pressure_size_alpha.py,R2,0,98663.0,19349.0,79314.0,10,80
mainbh_osmium_ret5_pressure_size_alpha.py,R2,1,98323.0,19003.0,79320.0,6,80
mainbh_osmium_ret5_ret10_alpha.py,R1,-2,95933.5,16372.5,79561.0,61,80
mainbh_osmium_ret5_ret10_alpha.py,R1,-1,97519.0,18285.0,79234.0,51,80
mainbh_osmium_ret5_ret10_alpha.py,R1,0,96706.0,17256.0,79450.0,11,80
mainbh_osmium_ret5_ret10_alpha.py,R2,-1,97498.0,18176.0,79322.0,28,80
mainbh_osmium_ret5_ret10_alpha.py,R2,0,98540.0,19226.0,79314.0,8,80
mainbh_osmium_ret5_ret10_alpha.py,R2,1,98247.0,18927.0,79320.0,4,80
mainbh_osmium_ret5_pressure_alpha.py,R1,-2,19372.0,3931.0,15441.0,-14,80
mainbh_osmium_ret5_pressure_alpha.py,R1,-1,18661.0,3267.0,15394.0,-40,80
mainbh_osmium_ret5_pressure_alpha.py,R1,0,18753.5,3303.5,15450.0,61,80
mainbh_osmium_ret5_pressure_alpha.py,R2,-1,19295.0,3813.0,15482.0,67,80
mainbh_osmium_ret5_pressure_alpha.py,R2,0,18912.0,3598.0,15314.0,57,80
mainbh_osmium_ret5_pressure_alpha.py,R2,1,18475.0,3115.0,15360.0,58,80
mainbh_osmium_ret5_pressure_pepper_line_mm.py,R1,-2,19561.0,3931.0,15630.0,-14,72
mainbh_osmium_ret5_pressure_pepper_line_mm.py,R1,-1,18916.0,3267.0,15649.0,-40,71
mainbh_osmium_ret5_pressure_pepper_line_mm.py,R1,0,18809.5,3303.5,15506.0,61,79
mainbh_osmium_ret5_pressure_pepper_line_mm.py,R2,-1,19234.5,3813.0,15421.5,67,75
mainbh_osmium_ret5_pressure_pepper_line_mm.py,R2,0,18978.0,3598.0,15380.0,57,75
mainbh_osmium_ret5_pressure_pepper_line_mm.py,R2,1,18548.0,3115.0,15433.0,58,75
mainbh_osmium_ret5_pressure_alpha.py,R1,-2,95929.5,16368.5,79561.0,61,80
mainbh_osmium_ret5_pressure_alpha.py,R1,-1,97519.0,18285.0,79234.0,51,80
mainbh_osmium_ret5_pressure_alpha.py,R1,0,96705.0,17255.0,79450.0,11,80
mainbh_osmium_ret5_pressure_alpha.py,R2,-1,97498.0,18176.0,79322.0,28,80
mainbh_osmium_ret5_pressure_alpha.py,R2,0,98540.0,19226.0,79314.0,8,80
mainbh_osmium_ret5_pressure_alpha.py,R2,1,98251.0,18931.0,79320.0,4,80
mainbh_osmium_ret5_pressure_pepper_line_mm.py,R1,-2,97056.5,16368.5,80688.0,61,80
mainbh_osmium_ret5_pressure_pepper_line_mm.py,R1,-1,97915.0,18285.0,79630.0,51,70
mainbh_osmium_ret5_pressure_pepper_line_mm.py,R1,0,97246.0,17255.0,79991.0,11,72
mainbh_osmium_ret5_pressure_pepper_line_mm.py,R2,-1,97435.0,18176.0,79259.0,28,80
mainbh_osmium_ret5_pressure_pepper_line_mm.py,R2,0,98791.0,19226.0,79565.0,8,80
mainbh_osmium_ret5_pressure_pepper_line_mm.py,R2,1,99073.0,18931.0,80142.0,4,78
mainbh_osmium_ret5_pressure_alpha.py,R1,-2,95929.5,16368.5,79561.0,61,80
mainbh_osmium_ret5_pressure_alpha.py,R1,-1,97519.0,18285.0,79234.0,51,80
mainbh_osmium_ret5_pressure_alpha.py,R1,0,96705.0,17255.0,79450.0,11,80
mainbh_osmium_ret5_pressure_alpha.py,R2,-1,97498.0,18176.0,79322.0,28,80
mainbh_osmium_ret5_pressure_alpha.py,R2,0,98540.0,19226.0,79314.0,8,80
mainbh_osmium_ret5_pressure_alpha.py,R2,1,98251.0,18931.0,79320.0,4,80
mainbh_osmium_ret5_pressure_pepper_line_mm.py,R1,-2,97056.5,16368.5,80688.0,61,80
mainbh_osmium_ret5_pressure_pepper_line_mm.py,R1,-1,97915.0,18285.0,79630.0,51,70
mainbh_osmium_ret5_pressure_pepper_line_mm.py,R1,0,97246.0,17255.0,79991.0,11,72
mainbh_osmium_ret5_pressure_pepper_line_mm.py,R2,-1,97435.0,18176.0,79259.0,28,80
mainbh_osmium_ret5_pressure_pepper_line_mm.py,R2,0,98791.0,19226.0,79565.0,8,80
mainbh_osmium_ret5_pressure_pepper_line_mm.py,R2,1,99073.0,18931.0,80142.0,4,78
mainbh_osmium_ret5_pressure_pepper_line_mm_60_20.py,R1,-2,94534.5,16368.5,78166.0,61,80
mainbh_osmium_ret5_pressure_pepper_line_mm_60_20.py,R1,-1,94905.0,18285.0,76620.0,51,64
mainbh_osmium_ret5_pressure_pepper_line_mm_60_20.py,R1,0,93708.0,17255.0,76453.0,11,72
mainbh_osmium_ret5_pressure_pepper_line_mm_60_20.py,R2,-1,93896.0,18176.0,75720.0,28,80
mainbh_osmium_ret5_pressure_pepper_line_mm_60_20.py,R2,0,94153.0,19226.0,74927.0,8,80
mainbh_osmium_ret5_pressure_pepper_line_mm_60_20.py,R2,1,95393.0,18931.0,76462.0,4,78
